crop,cutoff,seed,model,percent,year,rmse
soybean,2005,42,lightgbm,70,2006,0.29519455435218506
soybean,2005,42,lightgbm,70,2007,0.3757735498665252
soybean,2005,42,lightgbm,70,2008,0.31504462725734217
soybean,2005,42,random_forest,70,2006,0.22317935823865082
soybean,2005,42,random_forest,70,2007,0.4083261535581495
soybean,2005,42,random_forest,70,2008,0.3149846473231309
soybean,2005,45,world,70,2006,0.23498613415680378
soybean,2005,45,world,70,2007,0.3275438674749923
soybean,2005,45,world,70,2008,0.2688554140060275
soybean,2005,45,lightgbm,70,2006,0.27144862536716025
soybean,2005,45,lightgbm,70,2007,0.37630266073128854
soybean,2005,45,lightgbm,70,2008,0.3049643066449036
soybean,2005,45,random_forest,70,2006,0.22410903015186134
soybean,2005,45,random_forest,70,2007,0.4088503608540251
soybean,2005,45,random_forest,70,2008,0.3166766247899916
soybean,2005,48,world,70,2006,0.2191367552939799
soybean,2005,48,world,70,2007,0.3489886119024599
soybean,2005,48,world,70,2008,0.2939673245991461
soybean,2005,48,lightgbm,70,2006,0.2781941287691398
soybean,2005,48,lightgbm,70,2007,0.37600475012486995
soybean,2005,48,lightgbm,70,2008,0.3071060048615532
soybean,2005,48,random_forest,70,2006,0.22301803882191712
soybean,2005,48,random_forest,70,2007,0.4051033907839811
soybean,2005,48,random_forest,70,2008,0.3143884510316496
soybean,2009,42,world,70,2010,0.3017743490566414
soybean,2009,42,world,70,2011,0.232114682177243
soybean,2009,42,world,70,2012,0.25666793173559393
soybean,2009,42,world,70,2013,0.28186131169821205
soybean,2009,42,world,70,2014,0.2672779382333528
soybean,2009,42,world,70,2015,0.44175004945251384
soybean,2009,42,world,70,2016,0.30132886878440107
soybean,2009,42,lightgbm,70,2010,0.27353634485562345
soybean,2009,42,lightgbm,70,2011,0.25579828501274465
soybean,2009,42,lightgbm,70,2012,0.2841415474041388
soybean,2009,42,lightgbm,70,2013,0.2756478555444058
soybean,2009,42,lightgbm,70,2014,0.27694530696717884
soybean,2009,42,lightgbm,70,2015,0.44050127848360815
soybean,2009,42,lightgbm,70,2016,0.2782983789814607
soybean,2009,42,random_forest,70,2010,0.2787340235462193
soybean,2009,42,random_forest,70,2011,0.2651050190600839
soybean,2009,42,random_forest,70,2012,0.297089023025618
soybean,2009,42,random_forest,70,2013,0.262694945368438
soybean,2009,42,random_forest,70,2014,0.2586435410240824
soybean,2009,42,random_forest,70,2015,0.4356902393665185
soybean,2009,42,random_forest,70,2016,0.28896161386346353
soybean,2009,45,world,70,2010,0.2993436762039347
soybean,2009,45,world,70,2011,0.22735026999198224
soybean,2009,45,world,70,2012,0.2590637080596532
soybean,2009,45,world,70,2013,0.27759981440906056
soybean,2009,45,world,70,2014,0.25558025090722153
soybean,2009,45,world,70,2015,0.4365425669211743
soybean,2009,45,world,70,2016,0.288863406157831
soybean,2009,45,lightgbm,70,2010,0.2775758486871891
soybean,2009,45,lightgbm,70,2011,0.25601208505281253
soybean,2009,45,lightgbm,70,2012,0.2807685779477808
soybean,2009,45,lightgbm,70,2013,0.27306172897921965
soybean,2009,45,lightgbm,70,2014,0.2768494056668153
soybean,2009,45,lightgbm,70,2015,0.4446606953783996
soybean,2009,45,lightgbm,70,2016,0.2819366664548668
soybean,2009,45,random_forest,70,2010,0.2786974172216575
soybean,2009,45,random_forest,70,2011,0.2684386142919503
soybean,2009,45,random_forest,70,2012,0.2992400086718171
soybean,2009,45,random_forest,70,2013,0.26496547606915744
soybean,2009,45,random_forest,70,2014,0.25965435724914915
soybean,2009,45,random_forest,70,2015,0.4357392637647108
soybean,2009,45,random_forest,70,2016,0.2848995772202584
soybean,2009,48,world,70,2010,0.2927245475995022
soybean,2009,48,world,70,2011,0.23060549595698857
soybean,2009,48,world,70,2012,0.2618421745838609
soybean,2009,48,world,70,2013,0.28478583471737484
soybean,2009,48,world,70,2014,0.2634425701151138
soybean,2009,48,world,70,2015,0.43892794727553985
soybean,2009,48,world,70,2016,0.29627076468752395
soybean,2009,48,lightgbm,70,2010,0.27559115840347354
soybean,2009,48,lightgbm,70,2011,0.2594838578933236
soybean,2009,48,lightgbm,70,2012,0.2802267096773733
soybean,2009,48,lightgbm,70,2013,0.2761808817184205
soybean,2009,48,lightgbm,70,2014,0.2785791144755879
soybean,2009,48,lightgbm,70,2015,0.44304594802173014
soybean,2009,48,lightgbm,70,2016,0.2827961493357047
soybean,2009,48,random_forest,70,2010,0.2772672796861479
soybean,2009,48,random_forest,70,2011,0.2720653136432211
soybean,2009,48,random_forest,70,2012,0.2975499813040718
soybean,2009,48,random_forest,70,2013,0.26543443047573495
soybean,2009,48,random_forest,70,2014,0.2583499492879447
soybean,2009,48,random_forest,70,2015,0.43493381805709724
soybean,2009,48,random_forest,70,2016,0.28590615820177206
wheat,2001,42,world,70,2002,0.7648520924198509
wheat,2001,42,world,70,2003,1.2545638338730067
wheat,2001,42,world,70,2004,0.846051061841948
wheat,2001,42,lightgbm,70,2002,0.8655188302558114
wheat,2001,42,lightgbm,70,2003,1.396730350338323
wheat,2001,42,lightgbm,70,2004,0.8715541096155156
wheat,2001,42,random_forest,70,2002,0.8770599981313726
wheat,2001,42,random_forest,70,2003,1.372865191901276
wheat,2001,42,random_forest,70,2004,0.8250914758622564
wheat,2001,45,world,70,2002,0.7664962713949284
wheat,2001,45,world,70,2003,1.24878056747619
wheat,2001,45,world,70,2004,0.8341276521938197
wheat,2001,45,lightgbm,70,2002,0.8715461510620289
wheat,2001,45,lightgbm,70,2003,1.3923079645454708
wheat,2001,45,lightgbm,70,2004,0.8683375611593206
wheat,2001,45,random_forest,70,2002,0.8798427469677425
wheat,2001,45,random_forest,70,2003,1.3698322353369592
wheat,2001,45,random_forest,70,2004,0.8180618508101019
wheat,2001,48,world,70,2002,0.7729484155994096
wheat,2001,48,world,70,2003,1.2165549104526325
wheat,2001,48,world,70,2004,0.851817651160099
wheat,2001,48,lightgbm,70,2002,0.8485589935114872
wheat,2001,48,lightgbm,70,2003,1.4156494381416471
wheat,2001,48,lightgbm,70,2004,0.8783461111851497
wheat,2001,48,random_forest,70,2002,0.8773963663413987
wheat,2001,48,random_forest,70,2003,1.3819457415317802
wheat,2001,48,random_forest,70,2004,0.8220102808713711
wheat,2005,42,world,70,2006,0.7149137417086414
wheat,2005,42,world,70,2007,0.6595862377530369
wheat,2005,42,world,70,2008,0.6687517634749803
wheat,2005,42,lightgbm,70,2006,0.7281492504673113
wheat,2005,42,lightgbm,70,2007,0.6832600297670616
wheat,2005,42,lightgbm,70,2008,0.6887333909141552
wheat,2005,42,random_forest,70,2006,0.7279192255762492
wheat,2005,42,random_forest,70,2007,0.681016456915229
wheat,2005,42,random_forest,70,2008,0.6703879345401865
wheat,2005,45,world,70,2006,0.711723633312264
wheat,2005,45,world,70,2007,0.6439331807466934
wheat,2005,45,world,70,2008,0.6655177942374716
wheat,2005,45,lightgbm,70,2006,0.7319308415357243
wheat,2005,45,lightgbm,70,2007,0.6890183410105988
wheat,2005,45,lightgbm,70,2008,0.6818540600841747
wheat,2005,45,random_forest,70,2006,0.7232807649368956
wheat,2005,45,random_forest,70,2007,0.684655729983727
wheat,2005,45,random_forest,70,2008,0.6666176261943114
wheat,2005,48,world,70,2006,0.7100600474818807
wheat,2005,48,world,70,2007,0.6546923192437265
wheat,2005,48,world,70,2008,0.666501534204427
wheat,2005,48,lightgbm,70,2006,0.720718439259357
wheat,2005,48,lightgbm,70,2007,0.6891316344661303
wheat,2005,48,lightgbm,70,2008,0.6895937678608496
wheat,2005,48,random_forest,70,2006,0.7282415619763446
wheat,2005,48,random_forest,70,2007,0.685363848544483
wheat,2005,48,random_forest,70,2008,0.6696951750814674
wheat,2009,42,world,70,2010,0.8346936900288692
wheat,2009,42,world,70,2011,0.5166393327111554
wheat,2009,42,world,70,2012,0.5418422940051387
wheat,2009,42,world,70,2013,0.5981861967990898
wheat,2009,42,world,70,2014,0.5917388686034393
wheat,2009,42,world,70,2015,1.3752219786182942
wheat,2009,42,world,70,2016,0.7764039295738219
wheat,2009,42,lightgbm,70,2010,0.8443901262057691
wheat,2009,42,lightgbm,70,2011,0.5704573583534203
wheat,2009,42,lightgbm,70,2012,0.6011068810489211
wheat,2009,42,lightgbm,70,2013,0.6813934596555099
wheat,2009,42,lightgbm,70,2014,0.7108308145471344
wheat,2009,42,lightgbm,70,2015,1.203155316714072
wheat,2009,42,lightgbm,70,2016,0.8702468546304132
wheat,2009,42,random_forest,70,2010,0.865874347148147
wheat,2009,42,random_forest,70,2011,0.5498291140097118
wheat,2009,42,random_forest,70,2012,0.5838487985649546
wheat,2009,42,random_forest,70,2013,0.6349906372159521
wheat,2009,42,random_forest,70,2014,0.6863352693752703
wheat,2009,42,random_forest,70,2015,1.227756468462956
wheat,2009,42,random_forest,70,2016,0.8422420075243876
wheat,2009,45,world,70,2010,0.8406030203473907
wheat,2009,45,world,70,2011,0.516425093453173
wheat,2009,45,world,70,2012,0.5386667541035003
wheat,2009,45,world,70,2013,0.5884340297491949
wheat,2009,45,world,70,2014,0.5869762602818624
wheat,2009,45,world,70,2015,1.4038815039782495
wheat,2009,45,world,70,2016,0.7725863372185978
wheat,2009,45,lightgbm,70,2010,0.8466955488155019
wheat,2009,45,lightgbm,70,2011,0.5754825327829202
wheat,2009,45,lightgbm,70,2012,0.5971714700833989
wheat,2009,45,lightgbm,70,2013,0.6839913226134078
wheat,2009,45,lightgbm,70,2014,0.7097622468483432
wheat,2009,45,lightgbm,70,2015,1.2011600759890804
wheat,2009,45,lightgbm,70,2016,0.8633567357281249
wheat,2009,45,random_forest,70,2010,0.8705237308115645
wheat,2009,45,random_forest,70,2011,0.5453939113834408
wheat,2009,45,random_forest,70,2012,0.5840000165436761
wheat,2009,45,random_forest,70,2013,0.631070581003868
wheat,2009,45,random_forest,70,2014,0.6859705388148751
wheat,2009,45,random_forest,70,2015,1.233127792552716
wheat,2009,45,random_forest,70,2016,0.8226159153809919
wheat,2009,48,world,70,2010,0.8432002715574861
wheat,2009,48,world,70,2011,0.5256238004495101
wheat,2009,48,world,70,2012,0.54340490584769
wheat,2009,48,world,70,2013,0.590122072204925
wheat,2009,48,world,70,2014,0.5832533787476194
wheat,2009,48,world,70,2015,1.4062597366525158
wheat,2009,48,world,70,2016,0.7686303115701508
wheat,2009,48,lightgbm,70,2010,0.8395254381728651
wheat,2009,48,lightgbm,70,2011,0.5686939767386935
wheat,2009,48,lightgbm,70,2012,0.6128107810868623
wheat,2009,48,lightgbm,70,2013,0.6812174241436298
wheat,2009,48,lightgbm,70,2014,0.719141290348648
wheat,2009,48,lightgbm,70,2015,1.1992161186799637
wheat,2009,48,lightgbm,70,2016,0.8745278253217305
wheat,2009,48,random_forest,70,2010,0.8693742799578851
wheat,2009,48,random_forest,70,2011,0.5472130438749285
wheat,2009,48,random_forest,70,2012,0.5863692253789918
wheat,2009,48,random_forest,70,2013,0.6319581611510924
wheat,2009,48,random_forest,70,2014,0.6891180141981931
wheat,2009,48,random_forest,70,2015,1.2312207755825526
wheat,2009,48,random_forest,70,2016,0.8383235901903372
