crop,seed,model,percent,year,rmse
maize,48,random_forest,10,2002,0.6403933954092815
maize,48,random_forest,10,2003,1.0897939013576168
maize,48,random_forest,10,2004,0.8166022366776697
maize,42,lightgbm,30,2002,0.6135696980942302
maize,42,lightgbm,30,2003,1.1688540262740668
maize,42,lightgbm,30,2004,0.8154102961642725
maize,45,lightgbm,30,2002,0.6178160150924931
maize,45,lightgbm,30,2003,1.19863372877929
maize,45,lightgbm,30,2004,0.8175504898479
maize,48,lightgbm,30,2002,0.6112032535362109
maize,48,lightgbm,30,2003,1.1800939004786448
maize,48,lightgbm,30,2004,0.8121605144797603
maize,42,random_forest,30,2002,0.6483436743581747
maize,42,random_forest,30,2003,1.12347634774268
maize,42,random_forest,30,2004,0.8342862426310402
maize,45,random_forest,30,2002,0.6472515354064942
maize,45,random_forest,30,2003,1.111666498872421
maize,45,random_forest,30,2004,0.8415546481267862
maize,48,random_forest,30,2002,0.6474165281064236
maize,48,random_forest,30,2003,1.153172247842973
maize,48,random_forest,30,2004,0.8413356133866218
maize,42,lightgbm,50,2002,0.6203609122892539
maize,42,lightgbm,50,2003,1.186166101446844
maize,42,lightgbm,50,2004,0.7958601006363158
maize,45,lightgbm,50,2002,0.6162603538109008
maize,45,lightgbm,50,2003,1.163486256196088
maize,45,lightgbm,50,2004,0.8006013806686484
maize,48,lightgbm,50,2002,0.6183841899839886
maize,48,lightgbm,50,2003,1.1949318773513362
maize,48,lightgbm,50,2004,0.793373250250524
maize,42,random_forest,50,2002,0.652013381859314
maize,42,random_forest,50,2003,1.1489962940622789
maize,42,random_forest,50,2004,0.8365958619898344
maize,45,random_forest,50,2002,0.6481175108271976
maize,45,random_forest,50,2003,1.135211697324367
maize,45,random_forest,50,2004,0.8339892701969627
maize,48,random_forest,50,2002,0.6468135216553155
maize,48,random_forest,50,2003,1.1259115352728006
maize,48,random_forest,50,2004,0.8344402441799275
maize,42,lightgbm,10,2006,0.6301994006377576
maize,42,lightgbm,10,2007,0.7176281062787999
maize,42,lightgbm,10,2008,0.7053105559297426
maize,45,lightgbm,10,2006,0.6276561754401098
maize,45,lightgbm,10,2007,0.7171363981982146
maize,45,lightgbm,10,2008,0.7047974724844439
maize,48,lightgbm,10,2006,0.6266161860031353
maize,48,lightgbm,10,2007,0.7190769962860952
maize,48,lightgbm,10,2008,0.7132181236766074
maize,42,random_forest,10,2006,0.6343106207509009
maize,42,random_forest,10,2007,0.7035779821170013
maize,42,random_forest,10,2008,0.6685777336653991
maize,45,random_forest,10,2006,0.6321593541422679
maize,45,random_forest,10,2007,0.7064434383640378
maize,45,random_forest,10,2008,0.6701406890518685
maize,48,random_forest,10,2006,0.6294526011661851
maize,48,random_forest,10,2007,0.7038229615871163
maize,48,random_forest,10,2008,0.6695504739534129
maize,42,lightgbm,30,2006,0.62380055079587
